Blue, Green, Red
270, 338, 488
269, 335, 485
268, 338, 488
269, 335, 491
267, 335, 494
272, 331, 515
274, 328, 515
277, 319, 535
277, 320, 531
278, 318, 531
278, 317, 543
279, 316, 548
278, 319, 538
278, 320, 540
277, 320, 537
278, 320, 537
277, 318, 540
278, 319, 538
278, 318, 537
277, 319, 538
277, 317, 540
277, 317, 537
277, 318, 541
278, 318, 542
278, 317, 545
278, 317, 543
277, 318, 540
278, 318, 539
278, 318, 537
278, 317, 540
