Blue, Green, Red
424, 198, 718
428, 198, 724
449, 199, 753
483, 202, 754
493, 222, 762
487, 240, 754
487, 208, 766
495, 195, 741
420, 196, 743
477, 196, 741
476, 199, 746
490, 197, 753
499, 199, 770
476, 187, 731
421, 185, 726
440, 188, 738
426, 185, 705
401, 185, 697
398, 185, 706
409, 186, 701
399, 185, 696
399, 186, 689
406, 183, 703
416, 183, 678
382, 186, 651
381, 184, 667
384, 184, 659
402, 185, 688
392, 188, 688
397, 188, 672
